"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
1,0.2,2,-0.0260023490110638
1,0.2,2.1,-0.0284629913337317
1,0.2,2.2,-0.0310187052952837
1,0.2,2.3,-0.0336666872744799
1,0.2,2.4,-0.0364041595449776
1,0.2,2.5,-0.0392283854459386
1,0.2,2.6,-0.0421366840559547
1,0.2,2.7,-0.0451264442711397
1,0.2,2.8,-0.0481951381934347
1,0.2,2.9,-0.0513403337411927
1,0.2,3,-0.0545597064005693
1,0.2,3.1,-0.0578510500434816
1,0.2,3.2,-0.0612122867455306
1,0.2,3.3,-0.06464147554536
1,0.2,3.4,-0.0681368200955248
1,0.2,3.5,-0.0716966751637153
1,0.2,3.6,-0.0753195519522156
1,0.2,3.7,-0.0790041222129423
1,0.2,3.8,-0.0827492211445128
1,0.2,3.9,-0.0865538490673121
1,0.2,4,-0.0904171718820011
1,0.2,4.1,-0.0943385203258533
1,0.2,4.2,-0.0983173880506868
1,0.2,4.3,-0.10235342855465
1,0.2,4.4,-0.106446451008823
1,0.2,4.5,-0.110596415027489
1,0.2,4.6,-0.114803424438612
1,0.2,4.7,-0.119067720118249
1,0.2,4.8,-0.1233896719589
1,0.2,4.9,-0.127769770048018
1,0.2,5,-0.132208615137905
1,0.2,5.1,-0.136706908492824
1,0.2,5.2,-0.141265441203001
1,0.2,5.3,-0.14588508305804
1,0.2,5.4,-0.150566771074623
1,0.2,5.5,-0.155311497774582
1,0.2,5.6,-0.160120299309929
1,0.2,5.7,-0.164994243531076
1,0.2,5.8,-0.169934418093063
1,0.2,5.9,-0.174941918692411
1,0.2,6,-0.18001783752396
1,0.2,6.1,-0.185163252042604
1,0.2,6.2,-0.190379214109891
1,0.2,6.3,-0.195666739598199
1,0.2,6.4,-0.201026798518175
1,0.2,6.5,-0.20646030572504
1,0.2,6.6,-0.211968112248498
1,0.2,6.7,-0.217550997277735
1,0.2,6.8,-0.223209660817165
1,0.2,6.9,-0.228944717008918
1,0.2,7,-0.234756688095106
1,0.2,7.1,-0.240645998963302
1,0.2,7.2,-0.246612972182224
1,0.2,7.3,-0.252657823388298
1,0.2,7.4,-0.258780656823777
1,0.2,7.5,-0.264981460750107
1,0.2,7.6,-0.271260102358381
1,0.2,7.7,-0.277616321666174
1,0.2,7.8,-0.284049723713266
1,0.2,7.9,-0.290559768136395
1,0.2,8,-0.29714575489512
1,0.2,8.1,-0.303806804516526
1,0.2,8.2,-0.31054183069922
1,0.2,8.3,-0.317349502442206
1,0.2,8.4,-0.324228192021491
1,0.2,8.5,-0.331175904129808
1,0.2,8.6,-0.338190180383025
1,0.2,8.7,-0.345267972351607
1,0.2,8.8,-0.352405475699234
1,0.2,8.9,-0.359597918708272
1,0.2,9,-0.366839301946502
1,0.2,9.1,-0.374122094655406
1,0.2,9.2,-0.381436911628977
1,0.2,9.3,-0.388772227291577
1,0.2,9.4,-0.396114236658359
1,0.2,9.5,-0.40344704625617
1,0.2,9.6,-0.410753456817392
1,0.2,9.7,-0.418016636617148
1,0.2,9.8,-0.425222888184033
1,0.2,9.9,-0.432365367433173
1,0.2,10,-0.439447986111445
1,0.2,10.1,-0.446488029738867
1,0.2,10.2,-0.453515798287229
1,0.2,10.3,-0.460570392134157
1,0.2,10.4,-0.467692526708974
1,0.2,10.5,-0.474916888010831
1,0.2,10.6,-0.482266773375884
1,0.2,10.7,-0.489752423461846
1,0.2,10.8,-0.497372633546229
1,0.2,10.9,-0.505118143863268
1,0.2,11,-0.512975280516856
1,0.2,11.1,-0.520928905136237
1,0.2,11.2,-0.528964368645165
1,0.2,11.3,-0.537068567476705
1,0.2,11.4,-0.545230354310339
1,0.2,11.5,-0.553440555454187
1,0.2,11.6,-0.561691785957999
1,0.2,11.7,-0.569978185557479
1,0.2,11.8,-0.578295145018324
1,0.2,11.9,-0.586639056861024
1,0.2,12,-0.595007103397604
1,0.2,12.1,-0.603397083815102
1,0.2,12.2,-0.611807276822928
1,0.2,12.3,-0.62023633348588
1,0.2,12.4,-0.628683194655463
1,0.2,12.5,-0.63714702795617
1,0.2,12.6,-0.645627180085732
1,0.2,12.7,-0.654123141005905
1,0.2,12.8,-0.662634517329944
1,0.2,12.9,-0.671161012820784
1,0.2,13,-0.679702414401163
1,0.2,13.1,-0.688258582456483
1,0.2,13.2,-0.696829444503741
